,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
9,10,1954,1954-12-05,11,11,25.020,WAS,,CLE,L 14-34,*,5,7,71.43,120,2,1,113.7,,,17.14,16.43,6,7,1.17,0,0,0,0,0,,,Al Dorow,DoroAl00
10,11,1954,1954-12-12,12,12,25.027,WAS,,CRD,W 37-20,*,11,18,61.11,220,4,2,103.9,,18,12.22,11.67,6,33,5.50,0,0,0,0,0,,,Al Dorow,DoroAl00
11,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Al Dorow,DoroAl00
12,12,1955,1955-10-09,3,3,25.328,WAS,,CRD,L 10-24,,1,4,25.00,18,0,0,45.8,,,4.50,4.50,2,22,11.00,0,0,0,0,0,,,Al Dorow,DoroAl00
13,13,1955,1955-10-16,4,4,25.335,WAS,,CLE,L 14-24,,,,,,,,,,,,,1,-1,-1.00,0,0,0,0,0,,,Al Dorow,DoroAl00
14,14,1955,1955-10-30,6,6,25.349,WAS,@,NYG,L 7-35,,0,1,0.00,0,0,0,39.6,,,0.00,0.00,,,,,0,0,0,0,,,Al Dorow,DoroAl00
15,15,1955,1955-11-06,7,7,25.356,WAS,,PHI,W 34-21,,,,,,,,,,,,,2,9,4.50,0,0,0,0,0,,,Al Dorow,DoroAl00
16,16,1955,1955-11-20,9,9,26.005,WAS,@,CRD,W 31-0,,0,1,0.00,0,0,0,39.6,,,0.00,0.00,1,13,13.00,0,0,0,0,0,,,Al Dorow,DoroAl00
17,17,1955,1955-12-11,12,12,26.026,WAS,,PIT,W 28-17,*,1,6,16.67,19,0,1,0.7,,2,3.17,-4.33,2,6,3.00,0,0,0,0,0,,,Al Dorow,DoroAl00
18,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Al Dorow,DoroAl00
19,18,1956,1956-09-30,1,1,26.320,WAS,@,PIT,L 13-30,,1,4,25.00,5,0,0,39.6,,,1.25,1.25,,,,,0,0,0,0,,,Al Dorow,DoroAl00
20,19,1956,1956-10-06,2,2,26.326,WAS,@,PHI,L 9-13,*,6,10,60.00,54,0,2,35.0,,6,5.40,-3.60,4,3,0.75,0,0,0,0,0,,,Al Dorow,DoroAl00
21,20,1956,1956-10-14,3,3,26.334,WAS,,CRD,L 3-31,*,4,6,66.67,37,0,0,83.3,,24,6.17,6.17,4,11,2.75,0,0,0,0,0,,,Al Dorow,DoroAl00
22,21,1956,1956-10-21,4,4,26.341,WAS,,CLE,W 20-9,,0,1,0.00,0,0,0,39.6,,3,0.00,0.00,,,,,0,0,0,0,,,Al Dorow,DoroAl00
23,22,1956,1956-10-28,5,5,26.348,WAS,@,CRD,W 17-14,*,6,7,85.71,113,2,0,158.3,,10,16.14,21.86,3,38,12.67,0,0,0,0,0,,,Al Dorow,DoroAl00
24,23,1956,1956-11-11,6,7,26.362,WAS,,DET,W 18-17,*,4,12,33.33,38,0,0,43.1,,,3.17,3.17,2,3,1.50,0,0,0,0,0,,,Al Dorow,DoroAl00
25,24,1956,1956-11-18,7,8,27.003,WAS,,NYG,W 33-7,*,9,17,52.94,126,2,1,91.8,,,7.41,7.12,5,24,4.80,0,0,0,0,0,,,Al Dorow,DoroAl00
26,25,1956,1956-11-25,8,9,27.010,WAS,@,CLE,W 20-17,,2,4,50.00,32,0,0,77.1,,,8.00,8.00,1,4,4.00,0,0,0,0,0,,,Al Dorow,DoroAl00
27,26,1956,1956-12-02,9,10,27.017,WAS,@,NYG,L 14-28,*,2,5,40.00,11,1,2,47.9,,27,2.20,-11.80,,,,,0,0,0,0,,,Al Dorow,DoroAl00
28,27,1956,1956-12-09,10,11,27.024,WAS,,PHI,W 19-17,,14,25,56.00,196,1,0,94.7,,,7.84,8.64,6,31,5.17,0,0,0,0,0,,,Al Dorow,DoroAl00
29,28,1956,1956-12-16,11,12,27.031,WAS,,PIT,L 0-23,*,1,7,14.29,10,0,2,0.0,,10,1.43,-11.43,4,-10,-2.50,0,0,0,0,0,,,Al Dorow,DoroAl00
30,29,1956,1956-12-23,12,13,27.038,WAS,@,BAL,L 17-19,,6,14,42.86,108,2,1,79.8,,,7.71,7.36,1,1,1.00,0,0,0,0,0,,,Al Dorow,DoroAl00
31,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Al Dorow,DoroAl00
32,30,1957,1957-10-05,2,2,27.324,PHI,,NYG,L 20-24,,2,3,66.67,6,0,0,70.1,,,2.00,2.00,2,1,0.50,0,0,0,0,0,,,Al Dorow,DoroAl00
33,31,1957,1957-10-13,3,3,27.332,PHI,@,CLE,L 7-24,,6,12,50.00,56,0,1,28.5,,13,4.67,0.92,3,1,0.33,0,0,0,0,0,,,Al Dorow,DoroAl00
34,32,1957,1957-11-03,6,6,27.353,PHI,@,CRD,W 38-21,,2,3,66.67,29,1,0,137.5,,11,9.67,16.33,2,9,4.50,0,0,0,0,0,,,Al Dorow,DoroAl00
35,33,1957,1957-11-10,7,7,27.360,PHI,,DET,L 16-27,,4,9,44.44,68,0,1,31.0,,,7.56,2.56,3,9,3.00,1,1,6,0,0,,,Al Dorow,DoroAl00
36,34,1957,1957-11-17,8,8,28.002,PHI,@,NYG,L 0-13,,1,4,25.00,10,0,0,39.6,,21,2.50,2.50,1,6,6.00,0,0,0,0,0,,,Al Dorow,DoroAl00
37,35,1957,1957-12-08,11,11,28.023,PHI,@,WAS,L 7-42,,2,5,40.00,43,0,2,31.7,,7,8.60,-9.40,6,26,4.33,1,1,6,0,0,,,Al Dorow,DoroAl00
38,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Al Dorow,DoroAl00
39,36,1960,1960-09-11,1,1,30.301,NYT,,BUF,W 27-3,,6,12,50.00,74,0,1,34.7,,,6.17,2.42,3,31,10.33,2,2,12,0,0,,0,Al Dorow,DoroAl00
40,37,1960,1960-09-17,2,2,30.307,NYT,,BOS,L 24-28,*,12,25,48.00,227,3,1,102.8,,,9.08,9.68,4,29,7.25,0,0,0,0,0,,0,Al Dorow,DoroAl00
41,38,1960,1960-09-23,3,3,30.313,NYT,,DEN,W 28-24,*,8,21,38.10,99,1,2,29.8,,,4.71,1.38,2,18,9.00,0,0,0,6,264,44.00,0,Al Dorow,DoroAl00
42,39,1960,1960-10-02,4,4,30.322,NYT,@,DTX,W 37-35,*,18,35,51.43,281,4,1,104.6,,,8.03,9.03,3,26,8.67,1,1,6,0,0,,0,Al Dorow,DoroAl00
43,40,1960,1960-10-09,5,5,30.329,NYT,@,HOU,L 21-27,*,11,21,52.38,150,1,0,91.4,,,7.14,8.10,3,14,4.67,0,0,0,0,0,,0,Al Dorow,DoroAl00
44,41,1960,1960-10-16,6,6,30.336,NYT,@,BUF,W 17-13,*,16,35,45.71,158,1,3,32.8,,,4.51,1.23,18,72,4.00,1,1,6,0,0,,0,Al Dorow,DoroAl00
45,42,1960,1960-10-23,7,7,30.343,NYT,,HOU,L 28-42,*,13,24,54.17,118,1,4,42.0,,,4.92,-1.75,4,34,8.50,0,0,0,0,0,,0,Al Dorow,DoroAl00
46,43,1960,1960-10-28,8,8,30.348,NYT,,OAK,L 27-28,*,15,34,44.12,201,2,3,46.3,,,5.91,3.12,1,22,22.00,0,0,0,0,0,,0,Al Dorow,DoroAl00
47,44,1960,1960-11-04,9,9,30.355,NYT,,LAC,L 7-21,*,12,32,37.50,169,1,3,26.7,,,5.28,1.69,8,22,2.75,0,0,0,0,0,,0,Al Dorow,DoroAl00
48,45,1960,1960-11-11,10,10,30.362,NYT,@,BOS,L 21-38,*,16,25,64.00,191,1,1,83.9,,,7.64,6.64,8,32,4.00,0,0,0,0,0,,0,Al Dorow,DoroAl00
49,46,1960,1960-11-24,11,12,31.009,NYT,,DTX,W 41-35,*,21,33,63.64,301,2,1,100.7,,,9.12,8.97,11,48,4.36,1,1,6,0,0,,0,Al Dorow,DoroAl00
50,47,1960,1960-12-04,12,13,31.019,NYT,@,DEN,W 30-27,*,12,23,52.17,204,3,3,82.5,,,8.87,5.61,10,49,4.90,0,0,0,0,0,,0,Al Dorow,DoroAl00
51,48,1960,1960-12-11,13,14,31.026,NYT,@,OAK,W 31-28,*,29,48,60.42,375,3,0,105.8,,,7.81,9.06,8,43,5.38,1,1,6,0,0,,0,Al Dorow,DoroAl00
52,49,1960,1960-12-18,14,15,31.033,NYT,@,LAC,L 43-50,*,12,28,42.86,200,3,3,63.7,,,7.14,4.46,7,13,1.86,1,1,6,0,0,,0,Al Dorow,DoroAl00
53,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Al Dorow,DoroAl00
54,50,1961,1961-09-09,1,1,31.298,NYT,@,BOS,W 21-20,*,15,26,57.69,183,2,1,89.1,,,7.04,6.85,5,27,5.40,1,1,6,0,0,,0,Al Dorow,DoroAl00
55,51,1961,1961-09-17,2,2,31.306,NYT,@,BUF,L 31-41,*,24,44,54.55,281,4,3,76.0,,,6.39,5.14,4,12,3.00,0,0,0,0,0,,0,Al Dorow,DoroAl00
56,52,1961,1961-09-24,3,3,31.313,NYT,,DEN,W 35-28,*,9,25,36.00,121,3,3,52.2,,,4.84,1.84,1,25,25.00,0,0,0,0,0,,0,Al Dorow,DoroAl00
57,53,1961,1961-10-01,4,4,31.320,NYT,,BOS,W 37-30,*,14,29,48.28,195,2,0,93.3,,,6.72,8.10,6,26,4.33,0,0,0,0,0,,0,Al Dorow,DoroAl00
58,54,1961,1961-10-15,5,6,31.334,NYT,,SDG,L 10-25,*,18,40,45.00,186,1,4,27.7,,,4.65,0.65,4,19,4.75,0,0,0,0,0,,0,Al Dorow,DoroAl00
59,55,1961,1961-10-22,6,7,31.341,NYT,@,DEN,L 10-27,*,14,36,38.89,226,1,3,35.2,,,6.28,3.08,1,6,6.00,0,0,0,0,0,,0,Al Dorow,DoroAl00
60,56,1961,1961-10-29,7,8,31.348,NYT,@,OAK,W 14-6,*,8,20,40.00,104,0,1,36.2,,,5.20,2.95,4,14,3.50,0,0,0,0,0,,0,Al Dorow,DoroAl00
61,57,1961,1961-11-05,8,9,31.355,NYT,@,SDG,L 13-48,*,12,24,50.00,127,0,3,26.2,,,5.29,-0.33,9,31,3.44,1,1,6,0,0,,0,Al Dorow,DoroAl00
62,58,1961,1961-11-11,9,10,31.361,NYT,,OAK,W 23-12,*,15,34,44.12,194,0,3,25.9,,,5.71,1.74,3,15,5.00,0,0,0,0,0,,0,Al Dorow,DoroAl00
63,59,1961,1961-11-19,10,11,32.004,NYT,@,HOU,L 13-49,*,21,47,44.68,278,2,3,51.6,,,5.91,3.89,2,3,1.50,0,0,0,0,0,,0,Al Dorow,DoroAl00
64,60,1961,1961-11-23,11,12,32.008,NYT,,BUF,W 21-14,*,13,28,46.43,223,1,0,85.9,,,7.96,8.68,4,25,6.25,1,1,6,0,0,,0,Al Dorow,DoroAl00
65,61,1961,1961-12-03,12,13,32.018,NYT,,DTX,W 28-7,*,17,33,51.52,272,1,1,76.8,,,8.24,7.48,3,46,15.33,1,1,6,0,0,,0,Al Dorow,DoroAl00
66,62,1961,1961-12-10,13,14,32.025,NYT,,HOU,L 21-48,*,9,28,32.14,171,2,2,48.4,,,6.11,4.32,2,19,9.50,0,0,0,0,0,,0,Al Dorow,DoroAl00
67,63,1961,1961-12-17,14,15,32.032,NYT,@,DTX,L 24-35,*,8,24,33.33,90,0,3,5.9,,,3.75,-1.88,6,49,8.17,0,0,0,0,0,,0,Al Dorow,DoroAl00
68,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Al Dorow,DoroAl00
69,64,1962,1962-09-09,1,1,32.298,BUF,,HOU,L 23-28,*,4,17,23.53,44,0,3,0.0,,,2.59,-5.35,2,6,3.00,0,0,0,0,0,,0,Al Dorow,DoroAl00
70,65,1962,1962-09-15,2,2,32.304,BUF,,DEN,L 20-23,*,16,34,47.06,193,2,2,60.0,,,5.68,4.21,9,40,4.44,0,0,0,0,0,,0,Al Dorow,DoroAl00
71,66,1962,1962-09-22,3,3,32.311,BUF,,NYT,L 6-17,*,6,11,54.55,69,0,1,35.8,,,6.27,2.18,2,-2,-1.00,0,0,0,0,0,,0,Al Dorow,DoroAl00
72,67,1962,1962-09-30,4,4,32.319,BUF,@,DTX,L 21-41,*,4,13,30.77,27,0,1,8.2,,,2.08,-1.38,2,13,6.50,0,0,0,0,0,,0,Al Dorow,DoroAl00
73,,,67 Games,,,,,,,26-41-0,,572,1207,47.39,7708,64,93,53.8,,225,6.39,3.98,248,1150,4.64,16,16,96,6,264,44.00,0,Al Dorow,DoroAl00
