,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Unnamed: 29_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
9,10,2003,2003-11-16,10,11,,CIN,,KAN,W 24-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Carson Palmer,PalmCa00
10,11,2003,2003-11-23,11,12,,CIN,@,SDG,W 34-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Carson Palmer,PalmCa00
11,12,2003,2003-11-30,12,13,,CIN,@,PIT,W 24-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Carson Palmer,PalmCa00
12,13,2003,2003-12-07,13,14,,CIN,@,BAL,L 13-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Carson Palmer,PalmCa00
13,14,2003,2003-12-14,14,15,,CIN,,SFO,W 41-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Carson Palmer,PalmCa00
14,15,2003,2003-12-21,15,16,,CIN,@,STL,L 10-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Carson Palmer,PalmCa00
15,16,2003,2003-12-28,16,17,,CIN,,CLE,L 14-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Carson Palmer,PalmCa00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Carson Palmer,PalmCa00
17,17,2004,2004-09-12,1,1,24.260,CIN,@,NYJ,L 24-31,*,18,27,66.67,248,2,1,105.2,1,10,9.19,9.00,2,10,5.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
18,18,2004,2004-09-19,2,2,24.267,CIN,,MIA,W 16-13,*,21,38,55.26,147,0,1,53.3,5,31,3.87,2.68,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
19,19,2004,2004-09-26,3,3,24.274,CIN,,BAL,L 9-23,*,25,52,48.08,316,0,3,43.4,4,27,6.08,3.48,1,2,2.00,0,,0,0,0.0,,,,,,1,1,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
20,20,2004,2004-10-03,4,4,24.281,CIN,@,PIT,L 17-28,*,20,37,54.05,164,1,2,52.1,1,8,4.43,2.54,1,1,1.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
21,21,2004,2004-10-17,5,6,24.295,CIN,@,CLE,L 17-34,*,20,36,55.56,148,1,1,63.2,3,17,4.11,3.42,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
22,22,2004,2004-10-25,6,7,24.303,CIN,,DEN,W 23-10,*,12,21,57.14,198,1,1,85.0,1,10,9.43,8.24,4,0,0.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
23,23,2004,2004-10-31,7,8,24.309,CIN,@,TEN,L 20-27,*,20,36,55.56,247,0,1,65.4,4,30,6.86,5.61,0,0,,0,,0,0,0.0,,,,,,1,1,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
24,24,2004,2004-11-07,8,9,24.316,CIN,,DAL,W 26-3,*,21,32,65.63,212,1,0,94.8,0,0,6.63,7.25,2,1,0.50,1,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
25,25,2004,2004-11-14,9,10,24.323,CIN,@,WAS,W 17-10,*,24,39,61.54,217,1,2,63.7,0,0,5.56,3.77,2,-3,-1.50,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
26,26,2004,2004-11-21,10,11,24.330,CIN,,PIT,L 14-19,*,13,25,52.00,165,2,1,82.9,3,18,6.60,6.40,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
27,27,2004,2004-11-28,11,12,24.337,CIN,,CLE,W 58-48,*,22,29,75.86,251,4,3,101.4,0,0,8.66,6.76,2,10,5.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
28,28,2004,2004-12-05,12,13,24.344,CIN,@,BAL,W 27-26,*,29,36,80.56,382,3,1,127.1,3,27,10.61,11.03,2,7,3.50,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
29,29,2004,2004-12-12,13,14,24.351,CIN,@,NWE,L 28-35,*,18,24,75.00,202,2,1,110.1,0,0,8.42,8.21,2,19,9.50,0,,0,0,0.0,1,0,1,0,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
30,30,2004,2004-12-19,14,15,,CIN,,BUF,L 17-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Carson Palmer,PalmCa00
31,31,2004,2004-12-26,15,16,,CIN,,NYG,W 23-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Carson Palmer,PalmCa00
32,32,2004,2005-01-02,16,17,,CIN,@,PHI,W 38-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Carson Palmer,PalmCa00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Carson Palmer,PalmCa00
34,33,2005,2005-09-11,1,1,25.258,CIN,@,CLE,W 27-13,*,26,34,76.47,280,2,1,107.5,2,8,8.24,8.09,0,0,,0,,0,0,0.0,0,0,0,0,,1,1,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
35,34,2005,2005-09-18,2,2,25.265,CIN,,MIN,W 37-8,*,27,40,67.50,337,3,1,108.0,0,0,8.43,8.80,4,3,0.75,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
36,35,2005,2005-09-25,3,3,25.272,CIN,@,CHI,W 24-7,*,16,23,69.57,169,3,0,130.3,1,8,7.35,9.96,6,-3,-0.50,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
37,36,2005,2005-10-02,4,4,25.279,CIN,,HOU,W 16-10,*,25,34,73.53,276,1,0,107.0,2,3,8.12,8.71,1,-1,-1.00,0,,0,0,0.0,,,,,,1,0,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
38,37,2005,2005-10-09,5,5,25.286,CIN,@,JAX,L 20-23,*,22,33,66.67,239,2,0,108.0,2,7,7.24,8.45,1,1,1.00,0,,0,0,0.0,,,,,,1,1,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
39,38,2005,2005-10-16,6,6,25.293,CIN,@,TEN,W 31-23,*,27,33,81.82,272,2,0,121.2,1,4,8.24,9.45,3,4,1.33,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
40,39,2005,2005-10-23,7,7,25.300,CIN,,PIT,L 13-27,*,21,36,58.33,227,0,2,53.8,2,16,6.31,3.81,3,8,2.67,1,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
41,40,2005,2005-10-30,8,8,25.307,CIN,,GNB,W 21-14,*,22,34,64.71,237,3,1,102.2,2,15,6.97,7.41,0,0,,0,,0,0,0.0,,,,,,1,0,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
42,41,2005,2005-11-06,9,9,25.314,CIN,@,BAL,W 21-9,*,19,26,73.08,248,2,0,128.4,2,14,9.54,11.08,5,-6,-1.20,0,,0,0,0.0,0,0,0,0,,1,0,0,1,-2,0,,,,,,,,Carson Palmer,PalmCa00
43,42,2005,2005-11-20,10,11,25.328,CIN,,IND,L 37-45,*,25,38,65.79,335,2,1,100.2,1,7,8.82,8.68,1,1,1.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
44,43,2005,2005-11-27,11,12,25.335,CIN,,BAL,W 42-29,*,22,30,73.33,302,3,1,124.6,0,0,10.07,10.57,1,14,14.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
45,44,2005,2005-12-04,12,13,25.342,CIN,@,PIT,W 38-31,*,22,38,57.89,227,3,0,101.5,1,5,5.97,7.55,3,-3,-1.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
46,45,2005,2005-12-11,13,14,25.349,CIN,,CLE,W 23-20,*,13,27,48.15,93,1,1,53.5,0,0,3.44,2.52,1,1,1.00,0,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
47,46,2005,2005-12-18,14,15,25.356,CIN,@,DET,W 41-17,*,28,39,71.79,274,3,2,95.5,2,9,7.03,6.26,1,8,8.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
48,47,2005,2005-12-24,15,16,25.362,CIN,,BUF,L 27-37,*,25,36,69.44,266,2,2,86.1,1,9,7.39,6.00,4,14,3.50,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
49,48,2005,2006-01-01,16,17,26.005,CIN,@,KAN,L 3-37,*,5,8,62.50,54,0,0,82.3,0,0,6.75,6.75,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Carson Palmer,PalmCa00
51,49,2006,2006-09-10,1,1,26.257,CIN,@,KAN,W 23-10,*,13,19,68.42,127,0,0,87.0,1,7,6.68,6.68,2,-1,-0.50,0,,0,0,0.0,0,0,0,0,0,2,1,0,1,-3,0,,,,,,,,Carson Palmer,PalmCa00
52,50,2006,2006-09-17,2,2,26.264,CIN,,CLE,W 34-17,*,24,40,60.00,352,2,2,84.6,4,31,8.80,7.55,3,1,0.33,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
53,51,2006,2006-09-24,3,3,26.271,CIN,@,PIT,W 28-20,*,18,26,69.23,193,4,2,98.2,6,34,7.42,7.04,3,5,1.67,0,,0,0,0.0,,,,,,3,1,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
54,52,2006,2006-10-01,4,4,26.278,CIN,,NWE,L 13-38,*,20,35,57.14,245,0,0,78.9,4,37,7.00,7.00,0,0,,0,,0,0,0.0,0,0,0,0,0,2,2,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
55,53,2006,2006-10-15,5,6,26.292,CIN,@,TAM,L 13-14,*,24,37,64.86,261,1,0,94.5,2,9,7.05,7.59,2,1,0.50,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,-6,0,,,,,,,,Carson Palmer,PalmCa00
56,54,2006,2006-10-22,6,7,26.299,CIN,,CAR,W 17-14,*,23,39,58.97,240,2,0,94.0,2,10,6.15,7.18,1,6,6.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
57,55,2006,2006-10-29,7,8,26.306,CIN,,ATL,L 27-29,*,24,36,66.67,266,2,0,106.9,2,8,7.39,8.50,1,7,7.00,0,,0,0,0.0,,,,,,1,1,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
58,56,2006,2006-11-05,8,9,26.313,CIN,@,BAL,L 20-26,*,12,26,46.15,194,1,2,52.4,2,12,7.46,4.77,1,5,5.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
59,57,2006,2006-11-12,9,10,26.320,CIN,,SDG,L 41-49,*,31,42,73.81,440,3,0,131.1,3,23,10.48,11.90,1,3,3.00,0,,0,0,0.0,,,,,,1,1,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
60,58,2006,2006-11-19,10,11,26.327,CIN,@,NOR,W 31-16,*,14,22,63.64,275,3,1,127.8,1,9,12.50,13.18,2,-1,-0.50,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
61,59,2006,2006-11-26,11,12,26.334,CIN,@,CLE,W 30-0,*,25,32,78.13,275,3,1,120.7,1,0,8.59,9.06,2,0,0.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
62,60,2006,2006-11-30,12,13,26.338,CIN,,BAL,W 13-7,*,21,32,65.63,234,1,0,97.7,2,7,7.31,7.94,3,-3,-1.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
63,61,2006,2006-12-10,13,14,26.348,CIN,,OAK,W 27-10,*,20,28,71.43,297,2,3,90.0,0,0,10.61,7.21,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
64,62,2006,2006-12-18,14,15,26.356,CIN,@,IND,L 16-34,*,14,28,50.00,176,0,0,69.9,4,31,6.29,6.29,1,11,11.00,0,,0,0,0.0,,,,,,4,1,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
65,63,2006,2006-12-24,15,16,26.362,CIN,@,DEN,L 23-24,*,21,40,52.50,209,2,2,63.4,2,15,5.23,3.98,2,6,3.00,0,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
66,64,2006,2006-12-31,16,17,27.004,CIN,,PIT,L 17-23,*,20,38,52.63,251,2,0,91.0,0,0,6.61,7.66,2,-3,-1.50,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
67,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Carson Palmer,PalmCa00
68,65,2007,2007-09-10,1,1,27.257,CIN,,BAL,W 27-20,*,20,32,62.50,194,2,0,100.3,1,13,6.06,7.31,3,0,0.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
69,66,2007,2007-09-16,2,2,27.263,CIN,@,CLE,L 45-51,*,33,50,66.00,401,6,2,113.4,1,7,8.02,8.62,2,10,5.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
70,67,2007,2007-09-23,3,3,27.270,CIN,@,SEA,L 21-24,*,27,43,62.79,342,1,2,75.9,2,14,7.95,6.33,1,-1,-1.00,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
71,68,2007,2007-10-01,4,4,27.278,CIN,,NWE,L 13-34,*,21,35,60.00,234,1,2,65.7,1,8,6.69,4.69,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
72,69,2007,2007-10-14,5,6,27.291,CIN,@,KAN,L 20-27,*,26,43,60.47,320,2,2,79.6,4,25,7.44,6.28,1,2,2.00,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
73,70,2007,2007-10-21,6,7,27.298,CIN,,NYJ,W 38-31,*,14,21,66.67,226,1,1,98.5,1,8,10.76,9.57,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
74,71,2007,2007-10-28,7,8,27.305,CIN,,PIT,L 13-24,*,23,31,74.19,205,1,0,102.2,0,0,6.61,7.26,1,2,2.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
75,72,2007,2007-11-04,8,9,27.312,CIN,@,BUF,L 21-33,*,26,39,66.67,271,2,1,93.0,0,0,6.95,6.82,3,5,1.67,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
76,73,2007,2007-11-11,9,10,27.319,CIN,@,BAL,W 21-7,*,23,34,67.65,271,0,0,91.7,3,15,7.97,7.97,2,-2,-1.00,0,,0,0,0.0,,,,,,2,0,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
77,74,2007,2007-11-18,10,11,27.326,CIN,,ARI,L 27-35,*,37,52,71.15,329,2,4,68.5,1,5,6.33,3.63,2,-1,-0.50,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,-1,0,,,,,,,,Carson Palmer,PalmCa00
78,75,2007,2007-11-25,11,12,27.333,CIN,,TEN,W 35-6,*,32,38,84.21,283,3,1,113.0,1,5,7.45,7.84,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,Carson Palmer,PalmCa00
